age,budget_per_person_daily,city_you_resided_in,travel_group_composition,types_of_attractions,places_visited_in_the_uae,season
37,267,Ras Al Khaimah,2,Outdoor,Jumeirah Beach Residence,Winter
34,289,Ras Al Khaimah,8,Kids,Ski Dubai,Winter
52,110,Sharjah,10,Landmark,Dubai Frame,Summer
34,154,Ajman,1,Kids,Miracle Garden,Summer
25,92,Dubai,2,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
63,224,Fujairah,9,Landmark,Burj Khalifa,Winter
20,287,Umm Al Qaiwain,2,Kids,Ski Dubai,Summer
95,128,Sharjah,10,Outdoor,Ajman Beach,Winter
32,490,Ajman,7,Kids,Ferrari World,Winter
8,196,Ras Al Khaimah,8,Shopping,Madinat Jumeirah,Winter
14,15,Dubai,7,Outdoor,Ras Al Khor Wildlife Sanctuary,Winter
94,164,Ajman,10,Shopping,Madinat Jumeirah,Summer
44,470,Ajman,1,Kids,Ferrari World,Winter
25,4244,Sharjah,3,Landmark,Sir Bani Yas Island,Summer
41,408,Dubai,2,Kids,Ferrari World,Winter
26,383,Ras Al Khaimah,7,Shopping,Dubai Mall,Winter
5,45,Sharjah,3,Kids,Childrens City,Winter
39,266,Dubai,8,Kids,Ski Dubai,Winter
63,76,Umm Al Qaiwain,9,Historical,Liwa Oasis,Summer
20,157,Sharjah,3,Kids,The Green Planet,Winter
64,276,Ajman,7,Historical,The Dubai Opera,Summer
13,678,Fujairah,7,Kids,Yas Waterworld,Winter
40,115,Ajman,8,Outdoor,Al Qudra Lakes,Winter
3,437,Sharjah,4,Kids,Legoland Dubai,Winter
16,29,Ras Al Khaimah,6,Kids,Childrens City,Summer
38,1966,Dubai,1,Landmark,Burj Al Arab,Winter
41,5017,Dubai,7,Shopping,Gold Souk,Winter
70,20,Sharjah,5,Historical,Dubai Creek,Summer
65,275,Ajman,8,Historical,Sharjah Art Museum,Winter
44,207,Dubai,8,Kids,Dreamland Aqua Park,Winter
28,10,Ajman,5,Kids,Ras Al Khor Wildlife Sanctuary,Winter
38,666,Sharjah,10,Kids,Yas Waterworld,Summer
41,54,Dubai,5,Outdoor,Ras Al Khor Wildlife Sanctuary,Winter
17,211,Ajman,1,Landmark,Dubai Frame,Summer
55,46,Fujairah,4,Kids,Ras Al Khor Wildlife Sanctuary,Winter
42,407,Umm Al Qaiwain,2,Landmark,Louvre Abu Dhabi,Summer
54,138,Fujairah,2,Landmark,Qasr Al Watan,Winter
8,384,Ajman,2,Kids,Legoland Dubai,Winter
51,453,Sharjah,1,Historical,Liwa Oasis,Winter
25,86,Ajman,4,Landmark,Dubai Fountain,Summer
5,244,Dubai,6,Kids,Kidzania,Winter
14,124,Sharjah,1,Historical,Ajman Museum,Summer
20,145,Ras Al Khaimah,4,Landmark,Wadi Shawka,Winter
29,149,Ajman,2,Outdoor,Al Qudra Lakes,Winter
60,163,Ajman,6,Outdoor,Hatta Dam,Winter
53,182,Dubai,3,Landmark,Jebel Jais,Winter
39,2352,Ajman,9,Shopping,Global Village,Summer
42,134,Abu Dhabi,2,Historical,Al Jazirah Al Hamra,Summer
58,99,Fujairah,9,Outdoor,Miracle Garden,Summer
12,253,Dubai,5,Kids,OliOli,Winter
42,300,Abu Dhabi,9,Landmark,Madinat Jumeirah,Winter
71,64,Dubai,10,Landmark,Jebel Hafeet,Winter
53,694,Umm Al Qaiwain,10,Landmark,Atlantis The Palm,Winter
21,125,Abu Dhabi,2,Kids,Sharjah Aquarium,Winter
52,181,Dubai,9,Kids,Al Ain Zoo,Summer
26,104,Abu Dhabi,7,Landmark,Dubai Frame,Summer
34,42,Dubai,5,Outdoor,Jebel Jais,Winter
76,88,Dubai,1,Historical,Umm Al Quwain Fort and Museum,Winter
66,271,Ras Al Khaimah,1,Landmark,Louvre Abu Dhabi,Winter
44,117,Umm Al Qaiwain,7,Kids,Sharjah Aquarium,Winter
46,95,Fujairah,10,Historical,Sheikh Zayed Grand Mosque,Summer
9,481,Dubai,7,Kids,Atlantis The Palm,Winter
8,299,Sharjah,7,Kids,OliOli,Winter
14,291,Fujairah,9,Kids,OliOli,Winter
20,184,Dubai,5,Kids,The Green Planet,Summer
37,91,Umm Al Qaiwain,5,Outdoor,Ajman Beach,Winter
80,820,Umm Al Qaiwain,9,Historical,Emirates Palace,Summer
51,343,Sharjah,5,Landmark,Louvre Abu Dhabi,Summer
5,75,Sharjah,6,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
44,43,Ajman,3,Outdoor,Jebel Hafeet,Winter
51,232,Fujairah,10,Outdoor,Al Ain Zoo,Winter
97,105,Fujairah,8,Kids,Butterfly Garden,Winter
7,392,Umm Al Qaiwain,6,Kids,Dreamland Aqua Park,Summer
99,1948,Sharjah,5,Shopping,Gold Souk,Summer
27,147,Abu Dhabi,2,Landmark,Saadiyat Island,Summer
55,172,Ajman,3,Outdoor,Dubai Fountain,Winter
26,168,Ras Al Khaimah,10,Landmark,Dubai Museum at Al Fahidi Fort,Winter
13,145,Dubai,7,Historical,Sharjah Art Museum,Summer
17,265,Abu Dhabi,1,Kids,Ski Dubai,Summer
45,3609,Ras Al Khaimah,10,Shopping,Dubai Mall,Winter
58,337,Umm Al Qaiwain,8,Landmark,Louvre Abu Dhabi,Winter
35,306,Sharjah,8,Kids,Ski Dubai,Winter
27,100,Umm Al Qaiwain,2,Landmark,Saadiyat Island,Winter
32,170,Dubai,8,Outdoor,Jebel Jais,Winter
52,422,Umm Al Qaiwain,10,Historical,The Dubai Opera,Winter
27,150,Sharjah,7,Outdoor,Hatta Dam,Winter
13,332,Dubai,2,Kids,Kidzania,Winter
22,108,Umm Al Qaiwain,10,Kids,Sharjah Aquarium,Winter
43,53,Umm Al Qaiwain,8,Historical,Umm Al Quwain Fort and Museum,Summer
5,691,Umm Al Qaiwain,6,Kids,Yas Waterworld,Winter
12,121,Fujairah,9,Outdoor,Al Ain Zoo,Winter
43,179,Ajman,8,Kids,The Green Planet,Winter
35,106,Ajman,2,Landmark,Dubai Fountain,Summer
34,114,Ras Al Khaimah,8,Landmark,Dubai Frame,Winter
27,54,Sharjah,3,Historical,Al Jazirah Al Hamra,Summer
69,253,Fujairah,3,Shopping,Madinat Jumeirah,Summer
79,102,Ras Al Khaimah,2,Historical,Sheikh Zayed Grand Mosque,Winter
20,79,Ras Al Khaimah,9,Historical,Jumeirah Mosque,Winter
17,133,Ajman,1,Landmark,Sheikh Zayed Grand Mosque,Winter
45,437,Abu Dhabi,7,Kids,Warner Bros World,Summer
65,108,Ajman,8,Historical,Ajman Museum,Winter
25,525,Umm Al Qaiwain,10,Kids,IMG Worlds of Adventure,Summer
91,25,Umm Al Qaiwain,3,Landmark,Jebel Hafeet,Summer
40,444,Fujairah,10,Kids,Yas Waterworld,Summer
32,123,Umm Al Qaiwain,9,Outdoor,Dubai Fountain,Summer
14,1562,Ras Al Khaimah,7,Shopping,Mall of the Emirates,Summer
16,1116,Ras Al Khaimah,1,Shopping,Global Village,Summer
39,80,Abu Dhabi,1,Historical,Al Jazirah Al Hamra,Summer
55,86,Dubai,2,Historical,Sharjah Museum of Islamic Civilization,Summer
69,173,Fujairah,1,Outdoor,Al Qudra Lakes,Winter
27,1333,Dubai,4,Kids,Atlantis The Palm,Summer
66,221,Sharjah,7,Landmark,Dubai Frame,Winter
12,1701,Ras Al Khaimah,10,Landmark,Atlantis The Palm,Winter
58,377,Fujairah,10,Kids,Wadi Adventure,Summer
24,805,Ras Al Khaimah,4,Landmark,Atlantis The Palm,Summer
2,212,Ras Al Khaimah,9,Kids,OliOli,Summer
17,41,Dubai,3,Outdoor,Wadi Shawka,Winter
78,28,Sharjah,6,Outdoor,Wadi Shawka,Summer
89,27,Umm Al Qaiwain,7,Kids,Ras Al Khor Wildlife Sanctuary,Winter
12,164,Dubai,6,Kids,Bounce Dubai,Winter
35,501,Fujairah,7,Kids,Ferrari World,Winter
59,109,Sharjah,7,Landmark,Dubai Frame,Summer
25,125,Sharjah,3,Outdoor,Jebel Hafeet,Summer
19,153,Ajman,8,Kids,The Green Planet,Summer
48,305,Ajman,1,Historical,The Dubai Opera,Winter
13,446,Dubai,8,Kids,IMG Worlds of Adventure,Winter
24,118,Ras Al Khaimah,6,Landmark,Hatta Dam,Winter
11,25,Ras Al Khaimah,1,Outdoor,Hatta Heritage Village,Summer
29,129,Ajman,7,Kids,Bounce Dubai,Winter
54,99,Ras Al Khaimah,10,Kids,Butterfly Garden,Summer
31,197,Ras Al Khaimah,5,Historical,Al Ain Oasis,Winter
74,2275,Ras Al Khaimah,4,Historical,Burj Al Arab,Winter
23,192,Dubai,2,Outdoor,Jumeirah Beach Residence,Winter
23,465,Dubai,2,Kids,Ferrari World,Winter
8,181,Ajman,9,Kids,The Green Planet,Winter
52,1506,Abu Dhabi,3,Landmark,Emirates Palace,Winter
73,46,Sharjah,2,Landmark,Dubai Creek,Winter
14,398,Ras Al Khaimah,9,Kids,Legoland Dubai,Summer
70,81,Dubai,3,Historical,Qasr Al Hosn,Winter
49,139,Fujairah,7,Landmark,Hatta Heritage Village,Summer
18,543,Sharjah,8,Kids,Yas Waterworld,Summer
71,176,Dubai,3,Landmark,Hatta Dam,Winter
19,375,Umm Al Qaiwain,3,Landmark,Louvre Abu Dhabi,Winter
77,87,Dubai,7,Historical,Ajman Museum,Winter
13,535,Ajman,10,Kids,IMG Worlds of Adventure,Winter
16,381,Sharjah,10,Kids,Kidzania,Winter
10,492,Fujairah,4,Kids,IMG Worlds of Adventure,Summer
35,1061,Ras Al Khaimah,6,Landmark,Emirates Palace,Summer
34,61,Ras Al Khaimah,2,Landmark,Qasr Al Hosn,Winter
41,372,Ras Al Khaimah,1,Kids,Dreamland Aqua Park,Winter
77,49,Ajman,8,Outdoor,Wadi Shawka,Winter
89,680,Abu Dhabi,2,Landmark,Burj Khalifa,Summer
46,75,Sharjah,8,Landmark,Emirates Palace,Winter
75,138,Sharjah,5,Landmark,Wadi Shawka,Winter
27,149,Ras Al Khaimah,2,Landmark,Dubai Museum at Al Fahidi Fort,Summer
5,591,Fujairah,6,Shopping,Gold Souk,Summer
50,52,Ras Al Khaimah,5,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
54,77,Sharjah,6,Landmark,Jumeirah Mosque,Summer
46,44,Fujairah,8,Outdoor,Liwa Oasis,Winter
22,225,Dubai,10,Kids,Dreamland Aqua Park,Summer
8,124,Dubai,9,Outdoor,Hatta Dam,Winter
41,37,Dubai,5,Outdoor,Jebel Jais,Winter
65,202,Fujairah,3,Landmark,Dubai Frame,Summer
9,63,Dubai,3,Kids,Ras Al Khor Wildlife Sanctuary,Summer
10,35,Fujairah,1,Kids,Childrens City,Summer
29,453,Abu Dhabi,10,Kids,Global Village,Winter
25,232,Abu Dhabi,10,Landmark,Dubai Frame,Winter
13,467,Abu Dhabi,4,Kids,Legoland Dubai,Winter
99,1578,Ajman,7,Shopping,Gold Souk,Winter
45,152,Abu Dhabi,8,Historical,Sheikh Zayed Grand Mosque,Winter
46,107,Dubai,10,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
15,274,Abu Dhabi,2,Kids,Ski Dubai,Winter
11,492,Ajman,5,Kids,Legoland Dubai,Summer
66,226,Sharjah,6,Historical,Dubai Museum at Al Fahidi Fort,Winter
40,702,Sharjah,4,Historical,The Dubai Opera,Summer
84,168,Umm Al Qaiwain,4,Shopping,Madinat Jumeirah,Summer
66,3296,Dubai,6,Landmark,Sir Bani Yas Island,Winter
11,462,Fujairah,2,Kids,Warner Bros World,Winter
46,3899,Abu Dhabi,5,Shopping,Dubai Mall,Summer
21,365,Abu Dhabi,3,Kids,Yas Waterworld,Summer
13,147,Fujairah,6,Outdoor,Miracle Garden,Winter
4,1620,Abu Dhabi,6,Kids,Atlantis The Palm,Summer
45,125,Ajman,8,Landmark,Dubai Frame,Winter
39,142,Dubai,4,Landmark,Qasr Al Hosn,Winter
18,114,Ras Al Khaimah,8,Kids,Bounce Dubai,Winter
24,86,Abu Dhabi,4,Historical,Umm Al Quwain Fort and Museum,Winter
51,107,Dubai,3,Outdoor,Saadiyat Island,Summer
41,119,Abu Dhabi,6,Kids,Miracle Garden,Winter
39,44,Sharjah,1,Landmark,Dubai Creek,Summer
15,100,Umm Al Qaiwain,9,Outdoor,Al Qudra Lakes,Summer
25,62,Sharjah,1,Outdoor,Wadi Shawka,Winter
60,46,Umm Al Qaiwain,1,Outdoor,Jebel Jais,Summer
5,115,Umm Al Qaiwain,4,Kids,Bounce Dubai,Summer
36,1358,Abu Dhabi,7,Landmark,Sir Bani Yas Island,Winter
45,12,Sharjah,2,Outdoor,Hatta Dam,Winter
2,298,Ajman,1,Kids,OliOli,Summer
32,79,Dubai,1,Landmark,Hatta Dam,Winter
41,138,Abu Dhabi,9,Landmark,Wadi Shawka,Summer
3,438,Ajman,3,Kids,Legoland Dubai,Winter
6,194,Fujairah,1,Kids,OliOli,Summer
46,166,Umm Al Qaiwain,3,Historical,Qasr Al Watan,Winter
55,163,Ras Al Khaimah,7,Outdoor,Wadi Shawka,Summer
21,81,Fujairah,7,Historical,Jumeirah Mosque,Winter
23,285,Abu Dhabi,9,Kids,Ski Dubai,Winter
13,401,Fujairah,5,Kids,Kidzania,Summer
34,98,Sharjah,8,Landmark,Al Bidya Mosque,Winter
36,378,Dubai,8,Outdoor,Liwa Oasis,Summer
24,110,Dubai,3,Kids,Bounce Dubai,Summer
93,147,Ajman,6,Kids,Butterfly Garden,Summer
93,88,Abu Dhabi,4,Outdoor,Jebel Hafeet,Summer
21,385,Fujairah,9,Kids,Yas Waterworld,Winter
43,186,Sharjah,8,Kids,Al Ain Zoo,Summer
47,152,Ras Al Khaimah,5,Outdoor,Miracle Garden,Winter
9,447,Dubai,5,Kids,Legoland Dubai,Summer
28,88,Abu Dhabi,4,Historical,Qasr Al Hosn,Winter
37,1212,Dubai,8,Landmark,Emirates Palace,Winter
8,445,Fujairah,2,Kids,Legoland Dubai,Summer
87,243,Abu Dhabi,2,Shopping,Gold Souk,Winter
4,422,Ras Al Khaimah,5,Kids,Legoland Dubai,Summer
54,43,Abu Dhabi,4,Landmark,Ajman Beach,Winter
37,137,Ajman,3,Historical,Al Jazirah Al Hamra,Summer
6,191,Ras Al Khaimah,2,Kids,OliOli,Summer
95,338,Ajman,4,Shopping,Gold Souk,Summer
21,122,Abu Dhabi,8,Kids,Sharjah Aquarium,Summer
98,124,Fujairah,8,Kids,Butterfly Garden,Winter
15,92,Umm Al Qaiwain,2,Historical,Umm Al Quwain Fort and Museum,Summer
8,267,Abu Dhabi,7,Kids,OliOli,Summer
75,63,Ras Al Khaimah,10,Historical,Al Jazirah Al Hamra,Winter
40,172,Umm Al Qaiwain,9,Historical,Emirates Palace,Winter
8,345,Umm Al Qaiwain,1,Kids,Kidzania,Summer
14,264,Ajman,1,Historical,Sharjah Art Museum,Summer
65,2754,Ajman,1,Shopping,Dubai Mall,Summer
19,87,Fujairah,2,Historical,Emirates Palace,Summer
22,54,Ras Al Khaimah,7,Outdoor,Jebel Hafeet,Summer
54,586,Ajman,7,Historical,The Dubai Opera,Summer
32,141,Fujairah,7,Kids,The Green Planet,Summer
52,132,Fujairah,10,Kids,Butterfly Garden,Winter
47,194,Fujairah,7,Historical,Sharjah Art Museum,Summer
30,116,Sharjah,3,Historical,Fujairah Fort,Winter
67,173,Sharjah,1,Outdoor,Wadi Shawka,Winter
48,163,Sharjah,2,Kids,Al Ain Zoo,Summer
32,287,Dubai,6,Kids,Ski Dubai,Winter
66,58,Ras Al Khaimah,9,Landmark,Al Noor Mosque,Summer
6,296,Umm Al Qaiwain,8,Kids,Dreamland Aqua Park,Winter
23,252,Dubai,7,Historical,Wadi Adventure,Summer
10,74,Ajman,6,Kids,Childrens City,Summer
86,17,Abu Dhabi,4,Kids,Ras Al Khor Wildlife Sanctuary,Summer
64,237,Umm Al Qaiwain,5,Outdoor,Ajman Beach,Summer
5,145,Fujairah,10,Kids,The Green Planet,Summer
47,146,Dubai,7,Landmark,Dubai Frame,Winter
36,107,Fujairah,3,Kids,Bounce Dubai,Winter
65,269,Sharjah,6,Historical,Sharjah Art Museum,Winter
76,167,Ajman,9,Landmark,Jumeirah Beach Residence,Winter
67,57,Umm Al Qaiwain,8,Landmark,Dubai Creek,Summer
33,240,Ras Al Khaimah,1,Outdoor,Saadiyat Island,Winter
91,192,Sharjah,3,Shopping,Madinat Jumeirah,Winter
72,285,Dubai,1,Landmark,Burj Khalifa,Winter
49,50,Dubai,10,Historical,Al Noor Mosque,Summer
65,89,Ras Al Khaimah,6,Outdoor,Al Ain Oasis,Summer
90,1227,Abu Dhabi,9,Shopping,Gold Souk,Summer
82,32,Ras Al Khaimah,7,Outdoor,Ras Al Khor Wildlife Sanctuary,Summer
46,15,Umm Al Qaiwain,2,Landmark,Al Bidya Mosque,Summer
18,119,Umm Al Qaiwain,6,Landmark,Dubai Frame,Summer
17,130,Umm Al Qaiwain,9,Outdoor,Hatta Dam,Summer
36,48,Ajman,6,Outdoor,Ras Al Khor Wildlife Sanctuary,Summer
12,323,Ajman,4,Outdoor,Liwa Oasis,Summer
12,194,Abu Dhabi,2,Outdoor,Miracle Garden,Summer
16,81,Abu Dhabi,8,Landmark,Jumeirah Mosque,Summer
58,51,Dubai,7,Historical,Qasr Al Hosn,Winter
25,313,Sharjah,3,Kids,Wadi Adventure,Winter
17,3612,Sharjah,1,Historical,Burj Al Arab,Summer
11,56,Dubai,7,Kids,Childrens City,Winter
86,34,Fujairah,3,Landmark,Dubai Creek,Summer
28,195,Umm Al Qaiwain,6,Landmark,Dubai Frame,Summer
44,76,Abu Dhabi,6,Outdoor,Jebel Hafeet,Summer
58,3474,Ajman,5,Shopping,Yas Mall,Summer
14,661,Ras Al Khaimah,7,Landmark,Sir Bani Yas Island,Winter
28,245,Sharjah,1,Landmark,Saadiyat Island,Summer
5,128,Dubai,2,Outdoor,Al Marmoom Desert Conservation Reserve,Summer
27,73,Dubai,9,Historical,Qasr Al Hosn,Winter
9,730,Sharjah,10,Kids,Yas Waterworld,Winter
19,549,Sharjah,4,Landmark,Louvre Abu Dhabi,Winter
35,313,Ajman,8,Kids,Ski Dubai,Summer
39,468,Fujairah,3,Kids,Warner Bros World,Winter
9,483,Dubai,4,Kids,Legoland Dubai,Summer
10,494,Ras Al Khaimah,7,Outdoor,Liwa Oasis,Summer
74,3289,Dubai,1,Shopping,Dubai Mall,Summer
21,859,Abu Dhabi,2,Shopping,Gold Souk,Summer
73,46,Dubai,6,Kids,Ras Al Khor Wildlife Sanctuary,Winter
55,2981,Ajman,4,Kids,Global Village,Summer
67,697,Ajman,9,Historical,The Dubai Opera,Winter
9,450,Abu Dhabi,5,Kids,Warner Bros World,Winter
30,899,Abu Dhabi,5,Shopping,Mall of the Emirates,Winter
26,141,Abu Dhabi,3,Outdoor,Al Ain Oasis,Summer
48,104,Umm Al Qaiwain,9,Kids,Atlantis The Palm,Summer
62,42,Abu Dhabi,5,Landmark,Al Noor Mosque,Winter
78,85,Sharjah,7,Historical,Al Jazirah Al Hamra,Winter
30,493,Ras Al Khaimah,8,Kids,Ferrari World,Winter
38,317,Abu Dhabi,10,Kids,Dreamland Aqua Park,Summer
74,195,Fujairah,5,Historical,Al Ain Oasis,Summer
10,213,Dubai,9,Kids,OliOli,Summer
36,61,Ras Al Khaimah,9,Historical,Al Noor Mosque,Winter
22,78,Abu Dhabi,9,Outdoor,Al Marmoom Desert Conservation Reserve,Winter
62,153,Dubai,2,Landmark,Fujairah Fort,Winter
59,3820,Dubai,4,Outdoor,Sir Bani Yas Island,Winter
17,336,Sharjah,5,Shopping,Yas Mall,Winter
55,37,Umm Al Qaiwain,10,Landmark,Jebel Hafeet,Winter
57,76,Ras Al Khaimah,8,Historical,Dubai Museum at Al Fahidi Fort,Winter
18,1348,Umm Al Qaiwain,5,Shopping,Mall of the Emirates,Summer
68,127,Ajman,10,Landmark,Qasr Al Hosn,Winter
45,403,Ajman,3,Kids,Ferrari World,Winter
39,1546,Fujairah,10,Historical,Emirates Palace,Winter
49,3465,Umm Al Qaiwain,1,Shopping,Global Village,Summer
50,496,Ras Al Khaimah,4,Kids,Ferrari World,Summer
4,260,Sharjah,4,Kids,OliOli,Winter
4,441,Ras Al Khaimah,5,Kids,Legoland Dubai,Summer
41,608,Ras Al Khaimah,10,Landmark,Burj Khalifa,Summer
43,108,Ajman,2,Historical,Al Jazirah Al Hamra,Winter
34,133,Abu Dhabi,10,Landmark,Jebel Hafeet,Winter
31,1384,Abu Dhabi,7,Shopping,Dubai Mall,Summer
81,145,Ajman,5,Landmark,Hatta Heritage Village,Winter
39,98,Umm Al Qaiwain,4,Historical,Ajman Museum,Summer
25,235,Sharjah,10,Outdoor,Ajman Beach,Summer
51,164,Ajman,8,Landmark,Madinat Jumeirah,Summer
36,465,Ajman,5,Kids,Warner Bros World,Winter
84,18,Dubai,1,Outdoor,Al Qudra Lakes,Summer
39,129,Fujairah,3,Landmark,Jebel Jais,Summer
74,27,Ras Al Khaimah,6,Historical,Dubai Creek,Winter
69,60,Dubai,4,Landmark,Al Noor Mosque,Winter
45,192,Sharjah,1,Landmark,Dubai Frame,Winter
44,200,Ajman,9,Kids,The Green Planet,Summer
47,548,Ras Al Khaimah,6,Landmark,Louvre Abu Dhabi,Winter
43,85,Umm Al Qaiwain,9,Outdoor,Jumeirah Beach Residence,Winter
27,137,Fujairah,1,Historical,Qasr Al Hosn,Winter
9,486,Umm Al Qaiwain,6,Kids,Legoland Dubai,Summer
71,54,Ras Al Khaimah,1,Historical,Dubai Museum at Al Fahidi Fort,Summer
79,75,Dubai,9,Historical,Ajman Museum,Winter
13,259,Fujairah,10,Kids,OliOli,Winter
36,97,Ras Al Khaimah,10,Outdoor,Dubai Fountain,Summer
36,178,Fujairah,4,Kids,The Green Planet,Summer
78,41,Abu Dhabi,9,Outdoor,Hatta Heritage Village,Winter
80,74,Ras Al Khaimah,2,Historical,Al Jazirah Al Hamra,Summer
2,85,Umm Al Qaiwain,1,Landmark,Jumeirah Beach Residence,Winter
78,44,Ajman,2,Outdoor,Al Ain Oasis,Winter
50,86,Umm Al Qaiwain,6,Landmark,Hatta Heritage Village,Winter
34,247,Sharjah,8,Kids,Wadi Adventure,Summer
40,33,Abu Dhabi,8,Historical,Umm Al Quwain Fort and Museum,Summer
84,65,Dubai,7,Landmark,Dubai Creek,Summer
72,83,Ajman,6,Historical,Al Jazirah Al Hamra,Summer
80,34,Ajman,4,Landmark,Dubai Creek,Winter
8,26,Ras Al Khaimah,1,Kids,Childrens City,Winter
63,118,Sharjah,5,Historical,Qasr Al Watan,Winter
54,2798,Sharjah,4,Shopping,Dubai Mall,Summer
6,291,Abu Dhabi,3,Kids,OliOli,Winter
91,136,Fujairah,5,Outdoor,Al Qudra Lakes,Winter
11,558,Abu Dhabi,10,Landmark,Louvre Abu Dhabi,Summer
65,83,Abu Dhabi,8,Historical,Qasr Al Hosn,Winter
9,246,Dubai,5,Kids,OliOli,Winter
76,45,Dubai,2,Landmark,Hatta Dam,Winter
31,197,Sharjah,2,Kids,The Green Planet,Summer
9,440,Sharjah,8,Kids,Legoland Dubai,Winter
5,293,Ras Al Khaimah,4,Kids,OliOli,Summer
47,52,Umm Al Qaiwain,5,Landmark,Saadiyat Island,Winter
48,1933,Umm Al Qaiwain,8,Shopping,Global Village,Winter
40,126,Dubai,9,Historical,Ajman Museum,Summer
46,72,Ajman,8,Historical,Al Bidya Mosque,Winter
36,2338,Fujairah,3,Shopping,Mall of the Emirates,Winter
40,2761,Abu Dhabi,10,Shopping,Mall of the Emirates,Summer
16,240,Ras Al Khaimah,10,Landmark,Dubai Frame,Winter
60,98,Umm Al Qaiwain,8,Historical,Fujairah Fort,Summer
26,1616,Sharjah,10,Shopping,Gold Souk,Winter
34,2064,Abu Dhabi,5,Kids,Global Village,Summer
73,70,Ras Al Khaimah,3,Outdoor,Al Ain Oasis,Summer
23,114,Fujairah,5,Historical,Sharjah Museum of Islamic Civilization,Summer
61,103,Umm Al Qaiwain,9,Historical,Qasr Al Hosn,Winter
48,634,Fujairah,3,Landmark,Burj Khalifa,Summer
24,209,Ajman,6,Kids,Al Ain Zoo,Winter
8,693,Abu Dhabi,5,Kids,Yas Waterworld,Summer
53,685,Ajman,8,Historical,The Dubai Opera,Summer
81,89,Ajman,5,Historical,Jumeirah Mosque,Summer
69,69,Ajman,6,Landmark,Hatta Dam,Winter
35,3386,Dubai,9,Historical,Burj Al Arab,Winter
62,1711,Sharjah,4,Kids,Global Village,Winter
21,166,Umm Al Qaiwain,2,Historical,Fujairah Fort,Winter
11,50,Fujairah,3,Historical,Fujairah Fort,Summer
16,80,Fujairah,6,Historical,Ajman Museum,Summer
49,170,Dubai,5,Landmark,Dubai Frame,Summer
51,139,Ras Al Khaimah,2,Outdoor,Ajman Beach,Winter
62,168,Abu Dhabi,4,Outdoor,Hatta Heritage Village,Summer
52,268,Dubai,8,Historical,Sharjah Art Museum,Summer
61,151,Fujairah,4,Historical,Qasr Al Watan,Summer
29,135,Umm Al Qaiwain,1,Historical,Al Jazirah Al Hamra,Winter
8,56,Fujairah,5,Landmark,Dubai Creek,Winter
35,250,Dubai,3,Historical,Liwa Oasis,Summer
27,146,Fujairah,1,Kids,Butterfly Garden,Winter
32,53,Umm Al Qaiwain,9,Landmark,Dubai Creek,Summer
48,92,Ras Al Khaimah,2,Outdoor,Jebel Jais,Summer
81,44,Ras Al Khaimah,6,Historical,Al Noor Mosque,Summer
77,101,Fujairah,5,Outdoor,Al Qudra Lakes,Summer
64,238,Sharjah,7,Historical,Sharjah Art Museum,Winter
6,72,Dubai,5,Kids,Childrens City,Summer
11,2596,Sharjah,9,Shopping,Global Village,Summer
44,185,Abu Dhabi,9,Landmark,Sheikh Zayed Grand Mosque,Winter
56,307,Sharjah,9,Landmark,Burj Khalifa,Summer
17,3642,Ajman,10,Shopping,Yas Mall,Winter
70,857,Umm Al Qaiwain,7,Historical,Emirates Palace,Winter
16,123,Sharjah,3,Landmark,Saadiyat Island,Summer
49,112,Abu Dhabi,3,Historical,Sheikh Zayed Grand Mosque,Summer
20,47,Ras Al Khaimah,6,Landmark,Jebel Jais,Winter
42,2744,Ras Al Khaimah,7,Shopping,Yas Mall,Summer
17,1712,Ajman,9,Outdoor,Sir Bani Yas Island,Summer
41,65,Dubai,1,Landmark,Al Noor Mosque,Winter
51,88,Sharjah,5,Outdoor,Hatta Dam,Winter
84,491,Ajman,2,Landmark,Burj Khalifa,Winter
2,132,Dubai,1,Outdoor,Al Qudra Lakes,Winter
14,118,Sharjah,5,Landmark,Sheikh Zayed Grand Mosque,Summer
70,129,Sharjah,8,Landmark,Ajman Beach,Winter
14,84,Fujairah,1,Outdoor,Hatta Dam,Summer
39,140,Abu Dhabi,3,Historical,Ajman Museum,Summer
75,43,Ras Al Khaimah,10,Historical,Umm Al Quwain Fort and Museum,Winter
14,125,Ras Al Khaimah,7,Kids,Butterfly Garden,Winter
47,72,Ajman,2,Outdoor,Jebel Hafeet,Summer
65,235,Ajman,5,Landmark,Dubai Frame,Winter
62,1320,Abu Dhabi,10,Shopping,Yas Mall,Winter
24,239,Sharjah,4,Outdoor,Saadiyat Island,Summer
37,139,Dubai,7,Kids,Butterfly Garden,Winter
30,234,Abu Dhabi,2,Outdoor,Jumeirah Beach Residence,Summer
47,175,Dubai,9,Kids,The Green Planet,Summer
24,287,Sharjah,4,Outdoor,Al Ain Zoo,Summer
25,59,Sharjah,9,Landmark,Al Noor Mosque,Winter
27,60,Umm Al Qaiwain,9,Historical,Sharjah Museum of Islamic Civilization,Winter
8,34,Ajman,5,Kids,Childrens City,Winter
84,5648,Abu Dhabi,7,Shopping,Gold Souk,Winter
33,85,Sharjah,8,Historical,Al Jazirah Al Hamra,Summer
